date,amount,product
2025-05-25,83.28,C
2025-05-26,93.17,A
2025-05-27,110.47,B
2025-05-28,95.05,B
2025-05-29,121.23,B
2025-05-30,83.53,B
2025-05-31,123.2,C
2025-06-01,116.6,A
2025-06-02,80.5,B
2025-06-03,109.37,C
2025-06-04,74.42,C
2025-06-05,79.09,C
2025-06-06,115.37,A
2025-06-07,101.52,C
2025-06-08,107.1,C
2025-06-09,74.95,B
2025-06-10,82.32,B
2025-06-11,114.73,A
2025-06-12,119.98,A
2025-06-13,90.18,C
2025-06-14,84.04,B
2025-06-15,117.96,C
2025-06-16,113.31,B
2025-06-17,117.68,A
2025-06-18,83.4,B
2025-06-19,121.55,B
2025-06-20,86.56,A
2025-06-21,105.74,A
2025-06-22,108.84,B
2025-06-23,91.87,B
2025-06-24,129.44,C
2025-06-25,120.58,C
2025-06-26,100.33,C
2025-06-27,95.14,A
2025-06-28,77.73,B
2025-06-29,95.02,C
2025-06-30,82.68,C
2025-07-01,110.19,B
2025-07-02,76.49,A
2025-07-03,78.87,A
2025-07-04,88.28,A
2025-07-05,100.81,C
2025-07-06,73.96,B
2025-07-07,81.17,C
2025-07-08,72.98,B
2025-07-09,102.61,A
2025-07-10,120.01,C
2025-07-11,118.19,B
2025-07-12,107.46,C
2025-07-13,90.24,C
2025-07-14,75.96,B
2025-07-15,74.56,B
2025-07-16,82.4,C
2025-07-17,97.02,B
2025-07-18,106.5,C
2025-07-19,82.34,B
2025-07-20,92.12,A
2025-07-21,86.23,C
2025-07-22,80.04,C
2025-07-23,121.75,A
2025-07-24,104.63,B
2025-07-25,81.49,C
2025-07-26,72.54,A
2025-07-27,78.62,B
2025-07-28,73.55,A
2025-07-29,128.92,A
2025-07-30,128.28,A
2025-07-31,78.31,C
2025-08-01,84.66,C
2025-08-02,117.27,A
2025-08-03,128.22,C
2025-08-04,89.12,A
2025-08-05,83.56,A
2025-08-06,126.88,C
2025-08-07,99.43,A
2025-08-08,93.16,C
2025-08-09,70.5,A
2025-08-10,92.89,B
2025-08-11,91.71,B
2025-08-12,105.71,A
2025-08-13,114.31,A
2025-08-14,91.27,B
2025-08-15,70.45,C
2025-08-16,92.03,A
2025-08-17,129.3,B
2025-08-18,95.56,A
2025-08-19,73.64,C
2025-08-20,76.87,C
2025-08-21,80.39,A
2025-08-22,98.28,C
2025-08-23,79.15,B
2025-08-24,127.59,C
2025-08-25,113.84,A
2025-08-26,83.75,C
2025-08-27,118.47,B
2025-08-28,93.37,C
2025-08-29,86.84,C
2025-08-30,96.72,C
2025-08-31,95.09,C
2025-09-01,73.18,A
2025-09-02,120.26,C
2025-09-03,113.11,C
2025-09-04,112.41,A
2025-09-05,112.92,A
2025-09-06,78.28,B
2025-09-07,96.06,A
2025-09-08,124.45,C
2025-09-09,127.22,A
2025-09-10,72.42,B
2025-09-11,115.67,C
2025-09-12,114.35,B
2025-09-13,92.28,B
2025-09-14,77.79,B
2025-09-15,70.64,B
2025-09-16,83.99,A
2025-09-17,93.19,B
2025-09-18,74.69,A
2025-09-19,129.99,B
2025-09-20,113.11,C
2025-09-21,83.18,B
2025-09-22,99.45,C
2025-09-23,104.86,A
2025-09-24,75.8,A
2025-09-25,127.48,B
2025-09-26,113.68,A
2025-09-27,125.8,C
2025-09-28,73.94,A
2025-09-29,101.12,A
2025-09-30,93.84,A
2025-10-01,120.49,A
2025-10-02,75.04,B
2025-10-03,75.79,C
2025-10-04,81.43,A
2025-10-05,79.15,C
2025-10-06,115.47,B
2025-10-07,104.99,A
2025-10-08,82.5,A
2025-10-09,88.63,C
2025-10-10,74.03,A
2025-10-11,91.64,C
2025-10-12,106.15,B
2025-10-13,109.05,A
2025-10-14,82.85,B
2025-10-15,86.83,C
2025-10-16,111.7,C
2025-10-17,129.19,B
2025-10-18,78.82,A
2025-10-19,103.12,A
2025-10-20,118.17,B
2025-10-21,72.43,A
2025-10-22,70.38,A
2025-10-23,115.91,A
2025-10-24,103.63,C
2025-10-25,116.9,C
2025-10-26,126.47,C
2025-10-27,77.33,A
2025-10-28,124.03,C
2025-10-29,102.63,B
2025-10-30,111.13,A
2025-10-31,116.78,C
2025-11-01,118.45,A
2025-11-02,129.94,C
2025-11-03,105,A
2025-11-04,124.29,A
2025-11-05,104.39,A
2025-11-06,72.21,B
2025-11-07,76,B
2025-11-08,127.88,B
2025-11-09,113.35,B
2025-11-10,101.73,B
2025-11-11,106.88,B
2025-11-12,123.13,A
2025-11-13,111.29,C
2025-11-14,103.41,A
2025-11-15,101.77,C
2025-11-16,98.14,C
2025-11-17,118.45,A
2025-11-18,82.06,C
2025-11-19,85.9,C
2025-11-20,104.5,B
2025-11-21,128.4,B
2025-11-22,92.04,C
2025-11-23,108.53,B
2025-11-24,79.42,B
2025-11-25,124.34,A
2025-11-26,122.43,A
2025-11-27,98.69,B
2025-11-28,80.76,B
2025-11-29,96.43,C
2025-11-30,85.57,C
2025-12-01,104.14,B
2025-12-02,106.33,B
2025-12-03,111.22,A
2025-12-04,110.35,C
2025-12-05,79.06,A
2025-12-06,74.4,C
2025-12-07,125.06,A
2025-12-08,91.75,C
2025-12-09,128.36,A
2025-12-10,92.44,A
2025-12-11,104.36,A
2025-12-12,92.25,A
2025-12-13,74.91,A
2025-12-14,89.06,B
2025-12-15,74.02,C
2025-12-16,84.38,A
2025-12-17,103.49,C
2025-12-18,121.94,B
2025-12-19,72.47,C
2025-12-20,75.89,B
2025-12-21,128.18,A
2025-12-22,93.85,B
2025-12-23,77.93,C
2025-12-24,86.51,B
2025-12-25,74.87,A
2025-12-26,99.69,B
2025-12-27,106.55,A
2025-12-28,86.86,B
2025-12-29,85.45,A
2025-12-30,102.14,B
2025-12-31,125.4,A
2026-01-01,117.19,B
2026-01-02,72.68,C
2026-01-03,90.8,A
2026-01-04,83.71,A
2026-01-05,125.61,A
2026-01-06,70.13,C
2026-01-07,74.58,A
2026-01-08,106.66,C
2026-01-09,81.51,A
2026-01-10,70.07,C
2026-01-11,86.95,C
2026-01-12,84.33,C
2026-01-13,110.37,B
2026-01-14,96.42,A
2026-01-15,75.26,C
2026-01-16,82.86,C
2026-01-17,98.67,B
2026-01-18,101.01,C
2026-01-19,104.59,B
2026-01-20,107.34,A
2026-01-21,79.33,A
2026-01-22,87.07,A
2026-01-23,90.28,B
2026-01-24,78.23,A
2026-01-25,126.97,B
2026-01-26,75.39,B
2026-01-27,94.57,C
2026-01-28,71.57,C
2026-01-29,80.72,A
2026-01-30,77.12,A
2026-01-31,115.36,C
2026-02-01,125.79,A
2026-02-02,70.51,A
2026-02-03,99.7,B
2026-02-04,115.16,B
2026-02-05,80.38,C
2026-02-06,99.43,C
2026-02-07,116.69,A
2026-02-08,104.26,C
2026-02-09,103.69,A
2026-02-10,82.46,B
2026-02-11,91.34,B
2026-02-12,110.18,C
2026-02-13,86.67,B
2026-02-14,108.08,B
2026-02-15,118.08,B
2026-02-16,83.33,B
2026-02-17,89.36,A
2026-02-18,78.04,A
2026-02-19,85.81,A
2026-02-20,78.48,C
2026-02-21,85.54,A
2026-02-22,90.1,A
2026-02-23,125.94,B
2026-02-24,82.69,C
2026-02-25,91.6,A
2026-02-26,105.03,A
2026-02-27,117.67,A
2026-02-28,104.07,B
2026-03-01,99.86,A
2026-03-02,72.21,A
2026-03-03,116.85,A
2026-03-04,119.78,C
2026-03-05,107.74,C
2026-03-06,105.99,B
2026-03-07,75.08,B
2026-03-08,112.19,B
2026-03-09,123.71,B
2026-03-10,80.18,A
2026-03-11,84.68,B
2026-03-12,121.55,C
2026-03-13,86.6,C
2026-03-14,83.55,B
2026-03-15,120.85,A
2026-03-16,119.55,C
2026-03-17,109.85,C
2026-03-18,107.17,A
2026-03-19,129.19,A
2026-03-20,126.45,A
2026-03-21,99.33,B
2026-03-22,106.58,A
2026-03-23,123.23,B
2026-03-24,113.36,C
2026-03-25,100.52,A
2026-03-26,81.22,A
2026-03-27,79.46,B
2026-03-28,76.33,A
2026-03-29,91.48,A
2026-03-30,113.81,C
2026-03-31,126.46,A
2026-04-01,123.65,B
2026-04-02,72.66,B
2026-04-03,122.92,A
2026-04-04,120.07,B
2026-04-05,103.09,C
2026-04-06,102.71,A
2026-04-07,102.89,B
2026-04-08,119.28,C
2026-04-09,124.21,B
2026-04-10,76.27,A
2026-04-11,74.84,C
2026-04-12,127.18,B
2026-04-13,120.26,A
2026-04-14,110.7,B
2026-04-15,111.31,C
2026-04-16,94.27,C
2026-04-17,79.07,A
2026-04-18,111.96,A
2026-04-19,71.06,A
2026-04-20,117,B
2026-04-21,74.29,C
2026-04-22,99.65,B
2026-04-23,115.8,A
2026-04-24,128.95,B
2026-04-25,84.73,B
2026-04-26,90.55,A
2026-04-27,120.94,B
2026-04-28,79.58,A
2026-04-29,102.17,B
2026-04-30,116.02,C
2026-05-01,107.35,A
2026-05-02,128.09,C
2026-05-03,91.36,B
2026-05-04,125.58,A
2026-05-05,127.12,C
2026-05-06,116.75,B
2026-05-07,119.68,C
2026-05-08,84.9,A
2026-05-09,88.45,B
2026-05-10,115.25,C
2026-05-11,79.05,A
2026-05-12,88.44,A
2026-05-13,93.88,A
2026-05-14,78.29,B
2026-05-15,75.33,B
2026-05-16,105.07,B
2026-05-17,100.94,A
2026-05-18,117.97,C
2026-05-19,123.03,C
2026-05-20,74.24,A
2026-05-21,79.23,C
2026-05-22,100.15,B
2026-05-23,116.91,C
2026-05-24,87.45,A
2026-05-25,92.37,C
2026-05-26,117.09,A
2026-05-27,116.38,A
2026-05-28,105.86,B
2026-05-29,128.47,C
2026-05-30,94.79,A
2026-05-31,95.19,B
2026-06-01,82.65,B
2026-06-02,76.97,A
2026-06-03,76.32,C
2026-06-04,122.99,B
2026-06-05,90.68,B
2026-06-06,97.35,B
2026-06-07,106.22,B
2026-06-08,113.29,C
2026-06-09,90.75,C
2026-06-10,129.7,C
2026-06-11,79.43,A
2026-06-12,119.33,B
2026-06-13,113.07,B
2026-06-14,96.23,B
2026-06-15,118.92,A
2026-06-16,86.2,A
2026-06-17,117.13,C
2026-06-18,98.33,A
2026-06-19,95.71,B
2026-06-20,106.98,B
2026-06-21,86.99,C
2026-06-22,105.18,A
2026-06-23,103.23,A
2026-06-24,94.34,A
2026-06-25,110.62,A
2026-06-26,99.69,C
2026-06-27,74.51,B
2026-06-28,84.34,A
2026-06-29,101.38,B
2026-06-30,104.24,B
2026-07-01,91.36,B
2026-07-02,108.59,A
2026-07-03,91.27,B
2026-07-04,115.79,C
2026-07-05,129.75,B
2026-07-06,90.04,C
2026-07-07,73.61,B
2026-07-08,111.31,A
2026-07-09,104.29,B
2026-07-10,71.26,B
2026-07-11,76.03,A
2026-07-12,113.44,B
2026-07-13,102.91,B
2026-07-14,125.51,B
2026-07-15,101.12,B
2026-07-16,108.07,C
2026-07-17,125.36,A
2026-07-18,78.5,C
2026-07-19,86.27,A
2026-07-20,118.36,A
2026-07-21,97.66,B
2026-07-22,78.03,A
2026-07-23,122.68,B
2026-07-24,110.6,B
2026-07-25,115.57,C
2026-07-26,98.88,C
2026-07-27,101.23,A
2026-07-28,99.91,A
2026-07-29,115.5,A
2026-07-30,115.17,C
2026-07-31,101.82,B
2026-08-01,89.64,B
2026-08-02,125.78,B
2026-08-03,125.79,A
2026-08-04,91.35,C
2026-08-05,128.3,A
2026-08-06,121.35,C
2026-08-07,71.96,B
2026-08-08,80.41,B
2026-08-09,113.52,C
2026-08-10,121.4,B
2026-08-11,104.69,B
2026-08-12,126.27,C
2026-08-13,92,C
2026-08-14,101.12,A
2026-08-15,72.56,A
2026-08-16,101.93,C
2026-08-17,104.09,A
2026-08-18,83.94,B
2026-08-19,80.99,B
2026-08-20,112.74,B
2026-08-21,83.32,C
2026-08-22,71.47,A
2026-08-23,70.32,B
2026-08-24,72.66,C
2026-08-25,122.5,A
2026-08-26,88.88,C
2026-08-27,127.87,A
2026-08-28,120.85,C
2026-08-29,108.33,A
2026-08-30,74.81,A
2026-08-31,101.45,A
2026-09-01,120.7,C
2026-09-02,115.27,C
2026-09-03,91.26,C
2026-09-04,88.51,B
2026-09-05,95.68,A
2026-09-06,81.63,A
2026-09-07,77.52,C
2026-09-08,99.89,C
2026-09-09,116.08,C
2026-09-10,118.07,B
2026-09-11,83.09,C
2026-09-12,125,C
2026-09-13,71.22,B
2026-09-14,81.28,B
2026-09-15,125.11,A
2026-09-16,91.05,B
2026-09-17,76.57,C
2026-09-18,71.61,A
2026-09-19,96.42,A
2026-09-20,84.62,A
2026-09-21,108.95,A
2026-09-22,113.15,A
2026-09-23,109.16,C
2026-09-24,73.46,A
2026-09-25,88.4,C
2026-09-26,93.3,A
2026-09-27,86.98,C
2026-09-28,72.68,C
2026-09-29,119.42,A
2026-09-30,121.05,C
2026-10-01,118.56,C
2026-10-02,111.87,B
2026-10-03,126.6,B
2026-10-04,76.8,A
2026-10-05,110.77,A
2026-10-06,88.15,B
2026-10-07,101.5,C
2026-10-08,124.7,C
2026-10-09,80.58,C
2026-10-10,71.97,A
2026-10-11,89.66,A
2026-10-12,77.26,A
2026-10-13,108.31,A
2026-10-14,90.71,A
2026-10-15,124.89,A
2026-10-16,97.63,B
2026-10-17,87.01,A
2026-10-18,84.27,C
2026-10-19,103.66,A
2026-10-20,74.63,A
2026-10-21,107.69,C
2026-10-22,97.7,A
2026-10-23,105.6,C
2026-10-24,117.2,B
2026-10-25,73.09,A
2026-10-26,116.39,C
2026-10-27,72.17,B
2026-10-28,108.48,C
2026-10-29,115.6,C
2026-10-30,115.75,C
2026-10-31,83.24,C
2026-11-01,85.07,B
2026-11-02,115.21,C
2026-11-03,91,A
2026-11-04,100.98,A
2026-11-05,93.9,C
2026-11-06,119.14,C
2026-11-07,109.03,B
2026-11-08,105.11,A
2026-11-09,95.76,C
2026-11-10,85.17,C
2026-11-11,75.69,C
2026-11-12,88.26,B
2026-11-13,90.11,C
2026-11-14,108,B
2026-11-15,70.5,C
2026-11-16,103.35,A
2026-11-17,121.98,B
2026-11-18,108.43,C
2026-11-19,90.36,B
2026-11-20,94.28,B
2026-11-21,70.76,C
2026-11-22,111.21,C
2026-11-23,76.5,A
2026-11-24,125.29,A
2026-11-25,80.63,C
2026-11-26,84.74,C
2026-11-27,109.07,B
2026-11-28,122.33,B
2026-11-29,87.86,A
2026-11-30,105.76,B
2026-12-01,107.02,A
2026-12-02,78.1,B
2026-12-03,88.14,B
2026-12-04,74.76,C
2026-12-05,117.72,C
2026-12-06,111.33,C
2026-12-07,98.75,C
2026-12-08,118.21,A
2026-12-09,78.56,B
2026-12-10,95.48,A
2026-12-11,117.4,B
2026-12-12,87.9,A
2026-12-13,108.41,C
